"File","Title","Desc","Canonical","OGTitle","OGDesc","H1Count","HashLinks","InternalBlank","HasKeywords","HasFAQ","HasService","HasBreadcrumb"
"about.html","Tentang Radar Kediri Institute | Profil, Visi Misi & Tim Kediri","Kenali profil Radar Kediri Institute: visi, misi, tim profesional, dan komitmen pengembangan SDM melalui pelatihan terapan untuk sekolah, kampus, instansi, dan perusahaan di Kediri dan Jawa Timur.","https://rkinstitute.id/about.html","Tentang Radar Kediri Institute | Profil, Visi Misi & Tim Kediri","Kenali profil Radar Kediri Institute: visi, misi, tim profesional, dan komitmen pengembangan SDM melalui pelatihan terapan untuk sekolah, kampus, instansi, dan perusahaan di Kediri dan Jawa Timur.","1","0","0","False","False","False","True"
"artikel-lama.html","Akselerasi Karier Digital: RK Institute dan GM Academy Cetak 30 Talenta Kreatif Unggulan di Kediri","Liputan arsip program magang RK Institute dan GM Academy di Kediri: 30 mahasiswa belajar jurnalistik, video editing, dan digital marketing melalui pendampingan praktisi.","https://rkinstitute.id/artikel-lama.html","Akselerasi Karier Digital: RK Institute dan GM Academy Cetak 30 Talenta Kreatif Unggulan di Kediri","Liputan arsip program magang RK Institute dan GM Academy di Kediri: 30 mahasiswa belajar jurnalistik, video editing, dan digital marketing melalui pendampingan praktisi.","1","0","0","False","False","False","True"
"blog.html","Blog RK Institute Kediri | Insight Jurnalistik, Digital Marketing & Public Speaking","Baca artikel terbaru RK Institute seputar pelatihan jurnalistik, digital marketing, public speaking, literasi digital, dan pengembangan SDM di Kediri.","https://rkinstitute.id/blog.html","Blog RK Institute Kediri | Insight Jurnalistik, Digital Marketing & Public Speaking","Baca artikel terbaru RK Institute seputar pelatihan jurnalistik, digital marketing, public speaking, literasi digital, dan pengembangan SDM di Kediri.","1","0","0","False","False","False","True"
"event-outbound-mtsn-2-kota-kediri.html","Cara Game Outbound SJT Membentuk Karakter Strategis Siswa MTsN 2 Kediri","136 siswa MTsN 2 Kota Kediri membuktikan bahwa karakter strategis tidak lahir dari buku teks, tetapi dari tantangan nyata di lapangan melalui outbound School Journalist Trip.","https://rkinstitute.id/event-outbound-mtsn-2-kota-kediri.html","Cara Game Outbound SJT Membentuk Karakter Strategis Siswa MTsN 2 Kediri","136 siswa MTsN 2 Kota Kediri membuktikan bahwa karakter strategis tidak lahir dari buku teks, tetapi dari tantangan nyata di lapangan melalui outbound School Journalist Trip.","1","0","0","False","True","True","True"
"event-wisuda-sekolah-kampus.html","Event Wisuda Sekolah & Kampus Profesional | Radar Kediri Institute","Layanan Event Wisuda Sekolah & Kampus di Kediri dari Radar Kediri Institute. Dekorasi, rundown, dokumentasi, hiburan, publikasi media, dan pelaksanaan profesional untuk momen kelulusan yang berkesan.","https://rkinstitute.id/event-wisuda-sekolah-kampus.html","Event Wisuda Sekolah & Kampus Profesional | Radar Kediri Institute","Layanan Event Wisuda Sekolah & Kampus di Kediri dari Radar Kediri Institute. Dekorasi, rundown, dokumentasi, hiburan, publikasi media, dan pelaksanaan profesional untuk momen kelulusan yang berkesan.","1","0","0","False","True","True","True"
"event.html","Event & Dokumentasi Kegiatan RK Institute Kediri | Portofolio Program","Jelajahi dokumentasi kegiatan dan portofolio event RK Institute di Kediri: program sekolah, pelatihan instansi, corporate training, dan kegiatan edukasi.","https://rkinstitute.id/event.html","Event & Dokumentasi Kegiatan RK Institute Kediri | Portofolio Program","Jelajahi dokumentasi kegiatan dan portofolio event RK Institute di Kediri: program sekolah, pelatihan instansi, corporate training, dan kegiatan edukasi.","1","0","0","False","False","False","True"
"galeri.html","Galeri Kegiatan RK Institute Kediri | Dokumentasi Pelatihan & Event","Galeri kegiatan Radar Kediri Institute berisi dokumentasi pelatihan, workshop, event sekolah, dan program pengembangan SDM di Kediri dan Jawa Timur.","https://rkinstitute.id/galeri.html","Galeri Kegiatan RK Institute Kediri | Dokumentasi Pelatihan & Event","Galeri kegiatan Radar Kediri Institute berisi dokumentasi pelatihan, workshop, event sekolah, dan program pengembangan SDM di Kediri dan Jawa Timur.","1","0","0","False","False","False","True"
"gebyar-dies-natalis-milad-sekolah.html","Gebyar Dies Natalis / Milad Sekolah Profesional | Radar Kediri Institute","Layanan Gebyar Dies Natalis / Milad Sekolah di Kediri oleh Radar Kediri Institute. Event organizer profesional untuk perayaan HUT sekolah atau madrasah, lengkap dengan konsep acara, publikasi media, dokumentasi, dan branding institusi.","https://rkinstitute.id/gebyar-dies-natalis-milad-sekolah.html","Gebyar Dies Natalis / Milad Sekolah Profesional | Radar Kediri Institute","Layanan Gebyar Dies Natalis / Milad Sekolah di Kediri oleh Radar Kediri Institute. Event organizer profesional untuk perayaan HUT sekolah atau madrasah, lengkap dengan konsep acara, publikasi media, dokumentasi, dan branding institusi.","1","0","0","False","True","True","True"
"index.html","Pelatihan Jurnalistik, Digital Marketing & Event Organizer Kediri | Radar Kediri Institute","Radar Kediri Institute (RK Institute) menyediakan pelatihan jurnalistik, digital marketing, public speaking, coding AI, event organizer, dan publikasi media untuk sekolah, kampus, instansi, dan perusahaan di Kediri Raya.","https://rkinstitute.id/","Pelatihan Jurnalistik, Digital Marketing & Event Organizer Kediri | Radar Kediri Institute","Radar Kediri Institute (RK Institute) menyediakan pelatihan jurnalistik, digital marketing, public speaking, coding AI, event organizer, dan publikasi media untuk sekolah, kampus, instansi, dan perusahaan di Kediri Raya.","1","0","0","False","True","False","False"
"jasa-press-release-publikasi.html","Jasa Press Release & Publikasi Media | Radar Kediri Institute","Layanan publikasi kegiatan institusi di media cetak dan media sosial Jawa Pos Radar Kediri — terverifikasi Dewan Pers. Solusi branding sekolah, pemerintahan, dan perusahaan yang akuntabel, terpercaya, dan menjangkau audiens luas di Kediri Raya.","https://rkinstitute.id/jasa-press-release-publikasi.html","Jasa Press Release & Publikasi Media | Radar Kediri Institute","Layanan publikasi kegiatan institusi di media cetak dan media sosial Jawa Pos Radar Kediri — terverifikasi Dewan Pers. Solusi branding sekolah, pemerintahan, dan perusahaan yang akuntabel, terpercaya, dan menjangkau audiens luas di Kediri Raya.","1","0","0","False","True","True","True"
